n_steps,l_vae,l_noise,subject_lpips,global_lpips
50,14.136995315551758,0.020334839820861816,0.11337848183291223,0.07794386893510818
100,13.613752365112305,0.01971295103430748,0.11099910132781161,0.0763644129037857
200,13.13988208770752,0.01940641924738884,0.11296068317738567,0.07766996324062347
300,12.917970657348633,0.019418392330408096,0.11778310854769607,0.08092725276947021
400,12.650659561157227,0.01910286396741867,0.11501339872854506,0.07891789823770523
500,12.56992244720459,0.01881474442780018,0.11251481554854043,0.07751467078924179
600,12.403360366821289,0.018712420016527176,0.10955116618224939,0.07524950802326202
700,12.533685684204102,0.018388275057077408,0.10811101591216007,0.07454361766576767
800,12.084953308105469,0.018824543803930283,0.11557049806418061,0.07933038473129272
900,11.888128280639648,0.018539324402809143,0.11670268569072778,0.08030672371387482
1000,11.55877685546875,0.018764007836580276,0.11745885245960504,0.08090901374816895
