name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_rate
SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,0.8500
SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,inf,0.6738,-,0.2695,0.0695,0.5646,0.3745,0.9250
InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,0.8400
SD_Inpainting/full_dataset/DiffVax,34.7620,0.9890,0.9626,14.1890,0.5286,0.4852,0.1258,0.0251,0.1258,0.5647,0.9850
SD_Img2Img/full_dataset/DiffVax,34.7620,0.9890,0.9626,inf,0.9464,-,0.1258,0.0251,0.1186,0.0503,0.1050
InstructionPix2Pix/full_dataset/DiffVax,34.7620,0.9890,0.9626,25.7186,0.8912,0.7753,0.1258,0.0251,0.2520,0.1006,0.3650
SD_Inpainting/full_dataset/VAE_MSE_FT,-,-,-,-,-,-,0.3637,0.0939,0.3637,0.5019,1.0000
SD_Img2Img/full_dataset/VAE_MSE_FT,-,-,-,-,-,-,0.3637,0.0939,0.6272,0.4010,0.9900
InstructionPix2Pix/full_dataset/VAE_MSE_FT,-,-,-,-,-,-,0.3637,0.0939,0.5340,0.2026,0.8900
SD_Inpainting/full_dataset/VAE_MSE,-,-,-,-,-,-,0.6547,0.1651,0.6547,0.6140,1.0000
SD_Img2Img/full_dataset/VAE_MSE,-,-,-,-,-,-,0.6547,0.1651,0.7023,0.4234,0.9850
InstructionPix2Pix/full_dataset/VAE_MSE,-,-,-,-,-,-,0.6547,0.1651,0.6845,0.2406,0.8950
SD_Inpainting/full_dataset/VAE_MSE_2_STAGE_16,-,-,-,-,-,-,0.0906,0.0238,0.0906,0.3429,0.5150
SD_Img2Img/full_dataset/VAE_MSE_2_STAGE_16,-,-,-,-,-,-,0.0906,0.0238,0.4260,0.2858,0.8400
InstructionPix2Pix/full_dataset/VAE_MSE_2_STAGE_16,-,-,-,-,-,-,0.0906,0.0238,0.3140,0.1275,0.5100
